ts	phase	decision	why	evidence	result
2026-09-08T00:04:00Z	verifier	added one stdlib Phase 0 verifier with mac-local and release modes	every gate needs a machine-readable pass, fail, or blocked result and immutable evidence path	scripts/verify-phase0.py;scripts/test_verify_phase0.py	2 verifier domain tests pass;full mac-local run pending the deterministic fixture
2026-09-08T00:20:00Z	ui-fixture	added a deterministic create-only profiled JPEG generator	GUI verification needs a public non-private image with stable bytes	ui_fixture_cli.rs	identical outputs, create-only refusal, 960x640 decode, and applied ICC pass
2026-09-08T00:20:00Z	macos-app	added prepare, doctor, finish, and marker-guarded cleanup for a real app bundle	native UI evidence must execute the built Mach-O rather than a substitute process	/tmp/crema-unit6-evidence	prepare and doctor report a signed Mach-O arm64 executable; finish correctly blocks without real GUI metrics; cleanup preserves evidence
2026-09-08T15:20:00Z	macos-ui	drove the signed release app through browse, viewer, exposure, save, export, dirty close, and reopen	native behavior and accessibility identity require evidence from the real application rather than unit tests	/tmp/crema-phase0-run-021/gui-receipt.json	originals remained unchanged; XMP reopened at +1.05 EV; profiled JPEG export and GUI receipt passed
2026-09-08T15:20:00Z	keyboard	allowed grid shortcuts while an accessibility thumbnail owns focus	the native run reproduced Right Arrow and Enter being swallowed by a viewer-only keyboard-input guard	crates/crema-app/src/browser.rs	native Right Arrow changed selection and Enter opened the viewer after the root-cause fix
2026-09-08T15:20:00Z	fixture-determinism	canonicalized the generated ICC creation timestamp	the first real determinism test showed that the profile encoder inserted wall-clock time	crates/crema-app/src/bin/crema-ui-fixture.rs	byte-identical output test passes without weakening the embedded-profile path
2026-09-08T15:20:00Z	performance	measured warm-cache UI work while scrolling a 10,000-item index	the provisional 60 fps target needs release-build runtime evidence on declared hardware	/tmp/crema-phase0-run-022/macos-app/gui-metrics.tsv	1057 frames; p95 402 us; max 1237 us; zero frames above 16667 us; presentation timing remains unproved
2026-09-08T15:28:00Z	performance-receipt	made 10000-photo performance a source-bound release-assessment input	a one-off metric calculation cannot enforce the same gate on future macOS, Windows, and Linux evidence bundles	scripts/macos-phase0-app.py;scripts/verify-phase0.py	warm-cache, source identity, sample size, and p95 budget are machine checked
2026-09-08T15:20:00Z	verdict	marked Phase 0 implementation complete and release acceptance blocked	a Mac cannot supply representative RAF or ORF, HEIC variant, Windows, Linux, display-color, screen-reader, memory, or distribution evidence	docs/phase0-status.md	zero known local failures; remaining gates are explicit blockers rather than skipped successes
2026-09-08T15:35:00Z	review	fixed evidence aggregation, source binding, malformed TSV handling, HEIC defaults, and phase scope	independent review found release evidence could be combined too loosely and GUI receipts could claim a stale source identity	scripts/verify-phase0.py;scripts/macos-phase0-app.py;crates/crema-image/src/decode.rs	every supplied bundle must pass every core and fixture check; prepare rejects source drift; undeclared HEIC transfer fails closed; Phase 4 packaging no longer blocks Phase 0
2026-09-08T15:42:00Z	review-hardened	bound assistive and display evidence to native hosts and made scroll coverage plus remaining performance gates explicit	second independent review found one-frame receipts and cross-platform capability leakage could still mint a false pass	browser.rs;macos-phase0-app.py;verify-phase0.py	performance requires 100 frames, 20 positions, 500 traversed items, and 10000 scan-complete assets; next-photo, exposure, and memory remain blocked until measured
2026-09-08T15:48:00Z	review-final	refused synthetic next-photo, exposure, and memory performance evidence and validated receipt number types	the release assessor must not imply a completion path before a real source-bound producer exists	scripts/verify-phase0.py;scripts/test_verify_phase0.py	current full-shaped evidence remains blocked; malformed numeric fields become a machine-readable failure
